trial,adx_lookback,adx_threshold,long_only,stop_loss_pct,take_profit_pct,trailing_stop_pct,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
0,25.0,27.0,False,0.07535706501890463,0.11581070979089769,0.0,0.7708467413548185,0.17436890764997198,0.19333217239975442,1.06059407208312,1.0583701647811352,1.1696259043370687,0.35098995394232535,3.659165330870041,-0.43509342652922234,253.2,0.5119051829731778,0.1659122800432157,0.5436010317078208,0.4651569950474942,-0.4861100519428492,1.02971108365067,0.4861100519428492
1,12.0,26.0,True,0.04239744756325602,0.13748374337220912,0.06432996648684547,0.8794868615690683,0.3520583563733498,1.0422694743369028,1.6371840034135243,1.6904715361102813,1.2837365724749572,0.4475458764870015,4.273679624260195,-0.24686982091700313,161.0,0.2756601569200866,0.10452136509575834,1.1092264918461154,0.4812077372640414,0.8274804601000837,0.28174603174603174,-0.8274804601000837
2,21.0,22.0,True,0.06470643405092012,0.06662949229054717,0.0,0.45834573120080047,0.16142811412486244,0.5751012782049025,0.9294755764007782,0.9953199181360048,1.1656996825582653,0.3598593581297248,2.677188130399894,-0.28917324401795697,236.0,0.26132601866861593,0.12865956318273422,0.766318241959604,0.462231374701513,0.18695316259452455,0.5793650793650794,-0.18695316259452455
3,20.0,21.0,True,0.06817840065100186,0.11332080719932267,0.04848868467973341,0.42198570268706626,0.14630075476807886,0.4436413286038793,0.6386809877137304,0.690062799253311,1.1138038408284405,0.37118768836843047,1.9093217327149539,-0.33486153686313314,227.6,0.2672765575404097,0.1553692751864574,0.639347440576309,0.47404527643936606,0.023592620818296717,0.6157548197580123,-0.023592620818296717
4,17.0,23.0,False,0.05149425279412936,0.06869801811093082,0.0,0.3374007624668697,0.11887673009712878,0.38287497378327434,0.6410617548595254,0.8502403248782933,1.0911620903312884,0.44913198278444977,2.3278187024395556,-0.3309325789334615,269.8,0.24466457423324073,0.1559475814188908,0.6726135656477821,0.4727435188106804,-0.10274365571120447,0.7753572213589865,0.10274365571120447
5,21.0,29.0,False,0.06892591697776915,0.0997749058517208,0.04644096434469937,0.28437097199382017,0.09275799121857167,0.23480014380490907,0.3243718653848469,0.4327503505077878,1.070839541967549,0.3821442760619257,1.2049882350673264,-0.3752111517243951,237.2,0.2958652079188391,0.1776760313781137,0.4275585181422309,0.48165150497774667,-0.3069907694335434,0.7345492875757743,0.3069907694335434
6,29.0,25.0,False,0.07477423665141224,0.06735722477569402,0.07987948839600423,0.18364538304194983,0.03587986645178474,0.10047080806857464,0.2968787004897539,0.45308629909162335,1.0596822358264781,0.3293574272300086,1.2298393388001991,-0.4118907050496823,254.4,0.2933911253139999,0.20443014154027556,0.29525216051139896,0.45814398565502323,-0.5809102019689181,0.876162362480317,0.5809102019689181
7,13.0,23.0,True,0.06992143091841603,0.13470806691352322,0.0,0.6805540234793377,0.260251659334454,0.8741590889695319,1.3132583474818857,1.6837195646423002,1.219437004096091,0.43491271101041135,4.3685791190960686,-0.2505934379539859,238.2,0.251904232013441,0.12318375773888708,1.0260594530051017,0.47800177894663676,0.4379642149098637,0.588095238095238,-0.4379642149098637
8,30.0,26.0,False,0.04216311497776736,0.12942427358362535,0.0,0.0356854606941895,0.015064250607851081,0.182232889829834,0.2340104785761279,0.04065741813369668,1.04615681290142,0.3075445144673701,0.09691473473536144,-0.35640827946683273,288.8,0.289332894945206,0.15085666854948296,0.12274370477018327,0.47393409548966153,-0.7789617430523712,0.9017054478225545,0.7789617430523712
9,24.0,27.0,True,0.06816536227624523,0.09914981582857256,0.05922228674844965,0.24201452412385063,0.08951991663754717,0.3589504180585768,0.6052030911988611,0.45413958595921045,1.0877908892281245,0.3004931782797254,1.1230909938208238,-0.32244696001517553,352.8,0.2925081250610875,0.1455239850096186,0.509434694857849,0.46541078485789783,-0.578316368029645,1.087751062887494,0.578316368029645
10,29.0,30.0,True,0.0507329901484215,0.06371343216338214,0.0,0.3814858533232912,0.15447373978200998,0.5815844652259147,0.7793366811117601,1.029158950307562,1.1957265694919037,0.22740313646474203,2.578639184687436,-0.25999761280411626,193.8,0.2507950611167886,0.11759925498978072,0.625270940857034,0.4747757312159365,0.2133661789522721,0.41190476190476194,-0.2133661789522721
11,30.0,23.0,False,0.05231218395595755,0.06943475553418217,0.06432609539640238,0.5853914540288311,0.2228961394871146,0.6004157124189347,1.0268006363317623,1.1078705789793282,1.1665648681465683,0.3573974994162548,2.8342814045253943,-0.31414017347538375,164.6,0.30944609830167885,0.12770790233294063,0.794692523416643,0.47104518815195434,0.4703804304341294,0.32431209298251357,-0.4703804304341294
12,26.0,22.0,True,0.06436416596353278,0.12570356403258487,0.0,0.574374052098408,0.23936465864118564,0.8138968450946402,1.1795180646725734,1.0579577922779133,1.2174620001719159,0.3224023118365893,2.5219101329210476,-0.27783348590980017,255.2,0.26612206373450087,0.12827128089470202,0.8172941012242586,0.47170639134875153,0.16173854566870305,0.6555555555555556,-0.16173854566870305
13,13.0,28.0,True,0.0752839924279245,0.06799666632592537,0.05868594263341625,1.07617097777114,0.3808553695805196,1.1221499887052133,1.597555487327013,1.671460476460051,1.2754962939319214,0.44010026216559217,4.76762054224544,-0.28046864315049386,183.8,0.2540994910992327,0.11900693265349413,1.1149622133518986,0.47560662037524065,0.7427399911296764,0.3722222222222223,-0.7427399911296764
14,15.0,21.0,True,0.0789579178658581,0.061538702095297,0.0762292654253677,0.6498813032524671,0.2693586162535735,0.8620836731282486,1.105851475496419,0.9917861665595236,1.2183704846988466,0.4333815654816557,2.391294143970333,-0.2968310864078646,209.8,0.28808705464430123,0.10512454204593316,0.9064909113870095,0.4782994745203128,0.4310940859901841,0.47539682539682543,-0.4310940859901841
15,27.0,23.0,False,0.04817137008040649,0.14889634907640317,0.0,0.514176131089717,0.17409644186381085,0.4229500349660487,0.6919222190267119,0.6582334413477986,1.13225708411244,0.36264554127387205,1.8176732199833787,-0.4127774464236672,280.4,0.2919182051100038,0.200708586724696,0.6302738431726573,0.4693641807359457,-0.3508366052302325,0.9811104484028899,0.3508366052302325
16,17.0,23.0,False,0.0580650278338838,0.13352952877920285,0.07256333869789444,0.3374007624668697,0.11887673009712878,0.38287497378327434,0.6410617548595254,0.8502403248782933,1.0911620903312884,0.44913198278444977,2.3278187024395556,-0.3309325789334615,269.8,0.24466457423324073,0.1559475814188908,0.6726135656477821,0.4727435188106804,-0.10274365571120447,0.7753572213589865,0.10274365571120447
17,13.0,21.0,True,0.0790610121664874,0.09156149639459996,0.04412328264546246,0.34885086341631355,0.14805701529124388,0.6252125026002452,0.8583294888866237,0.8251659815377949,1.1451158233388146,0.4426311788374111,1.9045439319018294,-0.3255141544481479,226.0,0.2721728675278355,0.1518469115988247,0.785963860055019,0.48214526243689226,0.19525301147618346,0.5907108485788355,-0.19525301147618346
18,23.0,23.0,True,0.05668650752741494,0.07152692063337346,0.0739941970555948,0.462823704815076,0.18438153364787888,0.616313809842168,0.9097489637252618,0.8268248954069037,1.162294639249098,0.3403445454834516,2.060257046998006,-0.34852097835650336,202.0,0.2550537965189507,0.17134830265429624,0.7303585888600403,0.4766589000273414,0.18887218770258918,0.5414864011574512,-0.18887218770258918
19,15.0,22.0,True,0.07903999590955668,0.12417400693629849,0.0,0.23831957541650212,0.0660663092304223,0.42614754926795884,0.5513786991483215,0.6849856974524864,1.102806010660911,0.4239863903431383,1.7423355765808022,-0.3988824508153995,212.8,0.319387317806393,0.13626908184540484,0.6342889360051155,0.48003670521134423,-0.05077755292727093,0.6850664889323864,0.05077755292727093
20,10.0,28.0,True,0.04158849791607633,0.08166810447665743,0.05757078800292319,1.0505512615698538,0.41306616740685165,1.3794529058093523,1.9454355366931673,1.9036809885303032,1.3248158221961939,0.48556698136548543,4.799683880552829,-0.23676409684777902,191.6,0.2500436014261839,0.09877345065046543,1.253430234236726,0.4802044021460333,0.850255631062123,0.40317460317460313,-0.850255631062123
21,10.0,25.0,True,0.04091110493709251,0.08325224001412684,0.066407458251477,0.8315574663074707,0.3248441492718491,1.1202618494794692,1.6420660943679561,1.317574037750414,1.2666784579652213,0.4697679978028468,3.3505055256325442,-0.30174612619972574,219.8,0.24473112959685447,0.1444363787125193,1.095440815082832,0.47544249233292524,0.5768691976040154,0.5185716174788166,-0.5768691976040154
22,10.0,30.0,True,0.045328323878833676,0.14917354366052887,0.054916278289333036,0.8674456436668654,0.2924940516775266,0.7341559109560323,1.1503345058042092,1.6544336680424123,1.1950019556384055,0.46049502890666655,4.7369729064162724,-0.3171039549092244,273.0,0.24277718326897185,0.1651092543231408,0.990858113855719,0.479594043532931,0.23045972784679403,0.760398386008925,-0.23045972784679403
23,11.0,28.0,True,0.04493584432119237,0.0788339340047032,0.05393883613171868,0.7726441973015097,0.2959764485873992,0.8531031780263485,1.2697502362940831,1.7171083050933447,1.2251725458784555,0.4543903467518054,4.454414555651362,-0.2618934943749606,217.6,0.2628057690897932,0.11373207739267724,1.0374195508596087,0.47747712606714937,0.5310703445104024,0.5063492063492063,-0.5310703445104024
24,11.0,26.0,True,0.04061831837491579,0.14166498775810626,0.06664426443852405,0.7104766873793935,0.2839726546558498,0.9563932236786972,1.4475118621529954,1.3975161540295924,1.229831492574957,0.45233291734804126,3.4465338972389064,-0.2813465983649861,226.6,0.253242345962062,0.13626066183205127,1.040579469191128,0.4764604095212799,0.49851597712763607,0.542063492063492,-0.49851597712763607
25,17.0,29.0,True,0.05478495080372466,0.08985739785599929,0.052719556619351404,0.3796109817869263,0.13739608987723695,0.34772985167276127,0.6346340845464048,0.9205438787335467,1.1240949643265634,0.36583000614842354,2.3253904477993186,-0.36370689491389374,268.8,0.2685825713254346,0.17431499782085216,0.625588375612918,0.47045026618829205,-0.21134922373867904,0.8369375993515971,0.21134922373867904
26,15.0,26.0,True,0.04423752112752247,0.11029447763868915,0.06376807657766687,0.6494570025451551,0.25365472150350776,0.8097524207131748,1.222653509407806,1.1781170767721552,1.192504214414728,0.415002841190355,3.0193860701255177,-0.3408770312199098,212.6,0.26428935344928084,0.164133488559315,0.9257777270746556,0.4736337479255782,0.35751572812689936,0.5682619989477562,-0.35751572812689936
27,12.0,28.0,True,0.048048573034363454,0.07633084409150653,0.06965781465074586,0.3222575293894604,0.11338190468050384,0.32452162499091985,0.5348434358410874,0.58213892025892,1.0853344287693762,0.43731328117572177,1.6226977439272705,-0.29534605820586024,319.2,0.2427916770415583,0.13647668763719617,0.5717939353546417,0.4729206085497967,-0.3377298741691678,0.9095238095238095,0.3377298741691678
28,18.0,27.0,True,0.06146051315653115,0.11855384540303493,0.06124565141690197,0.33451634094256694,0.14712646319463055,0.5657905086166404,0.8158586250713082,0.7966523243209052,1.1349392565473284,0.374034041594639,1.7846011489393838,-0.27459532569103207,251.8,0.24855978997794,0.12818288161180597,0.7174114872380821,0.47524535493903164,0.07534799517459001,0.6420634920634921,-0.07534799517459001
29,14.0,24.0,True,0.040078230202844026,0.10462165493941358,0.05019225033975824,0.4148058452040514,0.17493789378092245,0.6493016457312352,0.856591054642678,1.1385186162617322,1.1457267834220506,0.42892294569882533,2.708258910061066,-0.22010452102563435,193.2,0.2495701544105203,0.10393815937221733,0.8380661700921677,0.4740323647767034,0.4285423605683582,0.40952380952380946,-0.4285423605683582
30,19.0,29.0,True,0.04792498347699093,0.08838104227228949,0.04139407182903941,1.0837487651066913,0.37605942186380076,0.6131493965958537,1.5123890204463861,1.4360177832305057,1.2915035253844542,0.3466765932393124,4.094876385219095,-0.30373884539922963,259.2,0.4477714622588421,0.1434014467748138,0.8706337769916452,0.47342035768137514,0.14395605250577248,0.7266777244858728,-0.14395605250577248
31,11.0,27.0,True,0.04273630793287213,0.14132636258063436,0.056740957426515796,1.0383687560131307,0.3871810155537709,1.1652677169483767,1.7013346223302588,2.317656650129861,1.3034362645007769,0.4616453468222604,5.998084389449394,-0.2522841641424724,188.6,0.2454130035558261,0.1063567330444618,1.2054234935214545,0.4839572565777198,0.8141536522516133,0.39126984126984127,-0.8141536522516133
32,22.0,24.0,True,0.054794754037439566,0.09710280669920432,0.06240853187066788,0.1746718697755322,0.059907311349324276,0.24786394057529598,0.37036192344749724,0.45099945615743087,1.0636898383774485,0.3460056915696673,1.1515414633385943,-0.4034878402275708,293.8,0.2612807055750371,0.22494724977399536,0.43954493825383906,0.46424410462832233,-0.5761609009314614,1.0157058391853004,0.5761609009314614
33,16.0,26.0,False,0.061724213372958546,0.1079330232657062,0.07084674366240416,0.5029415207302128,0.20077593469099014,0.6435836574858569,1.0898707092387128,0.811899058310684,1.1548951504395382,0.46088768243389444,2.05381195043251,-0.3263332154408854,276.0,0.27994666486195585,0.16768194931127414,0.8303895127576189,0.48049837589683675,0.039627843780609906,0.790761668977009,-0.039627843780609906
34,20.0,28.0,True,0.05015051432784863,0.08394693678564341,0.078499199733061,1.4730066452447612,0.5361432503834539,1.2110314708220131,2.3277353814210295,1.9006356942920477,1.4058746872940366,0.3451531686736519,5.248770481455888,-0.302914425411455,196.6,0.3523751936546125,0.11976692255350777,1.0751589085898445,0.4797632894015475,0.6463141847510614,0.4288447238387831,-0.6463141847510614
35,14.0,24.0,True,0.046954959129005186,0.11740495666602549,0.0,0.4148058452040514,0.17493789378092245,0.6493016457312352,0.856591054642678,1.1385186162617322,1.1457267834220506,0.42892294569882533,2.708258910061066,-0.22010452102563435,193.2,0.2495701544105203,0.10393815937221733,0.8380661700921677,0.4740323647767034,0.4285423605683582,0.40952380952380946,-0.4285423605683582
36,12.0,25.0,False,0.042586659228407826,0.14252051918664516,0.06711679925881311,0.34034790345172833,0.14979609939418437,0.6738389822599409,1.0276976623760743,0.7330544877359231,1.14178681997284,0.4889727009352092,1.6424921767349445,-0.24238339691401406,206.4,0.21339418914198566,0.11506598631302137,0.8162162534134274,0.48187756993954645,0.3543114915086655,0.46190476190476193,-0.3543114915086655
37,19.0,29.0,True,0.054051489746021794,0.10208382093427894,0.0,1.0837487651066913,0.37605942186380076,0.6131493965958537,1.5123890204463861,1.4360177832305057,1.2915035253844542,0.3466765932393124,4.094876385219095,-0.30373884539922963,259.2,0.4477714622588421,0.1434014467748138,0.8706337769916452,0.47342035768137514,0.14395605250577248,0.7266777244858728,-0.14395605250577248
38,10.0,26.0,False,0.058153630682745094,0.09477532297570071,0.05861015148437684,0.39416883923200347,0.16166879056697542,0.7271419450983021,1.1877608927262822,1.134632556802438,1.166834049142407,0.4938074480666604,2.7257825436720187,-0.2100475508814955,284.4,0.19617302884674687,0.1089070058001003,0.9452573055842589,0.47701393078489734,0.17382873415568756,0.7714285714285714,-0.17382873415568756
39,12.0,30.0,True,0.07167518834340224,0.0753701758044059,0.05072755949667988,0.9879798496625819,0.38967974834469776,1.1988369024711534,1.6677994870431445,1.517926673248084,1.2934206456838195,0.44177128503856017,3.801578083260283,-0.2741100529513066,194.0,0.2736361978707046,0.10477835414244263,1.112690569260117,0.47275918476351375,0.6999921565617043,0.4126984126984127,-0.6999921565617043
40,21.0,27.0,True,0.06629615337919482,0.1149987727180753,0.0,0.50786640692566,0.19549716502882689,0.4696611566103889,0.7801358390853835,0.7857229734298998,1.1547857957832794,0.3406987563380954,2.011705178463844,-0.34510096170191334,270.4,0.302888610578777,0.17207196118578422,0.6680077060849359,0.4732359289249465,-0.1380672331919066,0.8060749392768425,0.1380672331919066
41,16.0,28.0,False,0.050266106415088115,0.12260654116962143,0.05599751435797798,0.2567441277257614,0.09267327510835237,0.22511712709794426,0.4612886362183877,0.353979203829942,1.0625624551905308,0.4346002779181882,0.9691902512639026,-0.2835566324342943,286.8,0.2510670060529968,0.1535708244827984,0.43767276859088716,0.47098065970008784,-0.3432796123614938,0.780952380952381,0.3432796123614938
42,14.0,24.0,True,0.0520026390539967,0.0851924131588629,0.04624986440760401,0.4148058452040514,0.17493789378092245,0.6493016457312352,0.856591054642678,1.1385186162617322,1.1457267834220506,0.42892294569882533,2.708258910061066,-0.22010452102563435,193.2,0.2495701544105203,0.10393815937221733,0.8380661700921677,0.4740323647767034,0.4285423605683582,0.40952380952380946,-0.4285423605683582
43,27.0,26.0,True,0.04637096060834507,0.13688943687121446,0.0,0.2316538372893345,0.10198580818149643,0.40342630180809563,0.5107621848339783,0.33100155635315237,1.1138942413044741,0.286260956351798,0.7432300205296141,-0.34258448132821356,217.8,0.27158554014851355,0.143653001174431,0.4547416306566915,0.4509451950185802,-0.1375701891425929,0.5923118197992844,0.1375701891425929
44,13.0,29.0,False,0.07292108064055487,0.13056198239803077,0.06966707989554269,0.5861680313084194,0.21865958960337656,0.6229017352366617,1.0042165491978086,0.8185978335155525,1.15115166173491,0.4864400243774994,2.130515079325955,-0.27745431874591525,246.4,0.2457383132409802,0.1268572360058824,0.8314154066200781,0.4740221348560373,0.21078048598515742,0.6206349206349207,-0.21078048598515742
45,11.0,25.0,True,0.04386256989036799,0.06343516579384237,0.06097736924077773,0.6750143604639569,0.2678428290550586,0.8904997171009391,1.3782425540671848,1.0820001110544688,1.230384070007783,0.46532250149267407,2.641810592589541,-0.31567544654797686,229.0,0.24335041361116558,0.14766118816685947,0.9815034406634577,0.4736976779957119,0.3985652459802024,0.5829381946832554,-0.3985652459802024
46,25.0,27.0,True,0.040190834733947155,0.11048828021486737,0.0,1.01358145291737,0.2590460952902772,0.3975796463980579,1.297419401601175,1.3748277833886788,1.2815178360882715,0.29972874347890155,4.664584660203372,-0.3945524205637887,277.2,0.48531499240432474,0.1395476028963592,0.7190451096753208,0.4630944140257105,-0.29823186671372426,1.017276976389045,0.29823186671372426
47,18.0,20.0,False,0.06373206973130859,0.07989127364108292,0.04732953174665709,0.6302412601613332,0.23913082121230578,0.7793026346791923,1.2864728688941467,1.312043774526607,1.1818016882869569,0.4703309481937882,3.549549970012555,-0.2881529396596652,290.8,0.24313201327880649,0.1328323927635699,0.9873713007639223,0.4832452424651363,0.19054590393852544,0.7968253968253969,-0.19054590393852544
48,22.0,27.0,True,0.049601561477239306,0.07177466818312385,0.06397262934130796,0.27154229963485904,0.06767316590784597,0.0698633075764152,0.2539198483247299,0.6310442727513184,1.0496484204791323,0.32029233681034885,1.7832263725523294,-0.39374918552116356,312.0,0.286627253289616,0.18161166127605247,0.24517596097873237,0.4632117858463397,-0.8232747910159758,1.0684507519947082,0.8232747910159758
49,12.0,30.0,True,0.042046527672566406,0.0948706096943561,0.0,0.9879798496625819,0.38967974834469776,1.1988369024711534,1.6677994870431445,1.517926673248084,1.2934206456838195,0.44177128503856017,3.801578083260283,-0.2741100529513066,194.0,0.2736361978707046,0.10477835414244263,1.112690569260117,0.47275918476351375,0.6999921565617043,0.4126984126984127,-0.6999921565617043
