trial,kst_weights,long_only,risk_params,roc_periods,signal_period,sma_periods,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
0,"(1, 2, 3, 4)",False,"{'stop_loss_pct': 0.07303559752835692, 'take_profit_pct': 0.1082130897444305, 'trailing_stop_pct': 0.044409662229208634}","(5, 10, 15, 20)",13.0,"(10, 10, 10, 15)",0.09776872843488948,0.046689256048014285,0.32955468109883607,0.4631524420493947,0.4456338570207441,1.071580118723051,0.49601321783168173,0.8991760345964902,-0.16298489662022303,314.8,0.14418282559445103,0.09030357028835748,0.5217883723544767,0.48836821445078116,-0.3702751197090154,0.8920634920634921,0.3702751197090154
1,"(1, 2, 3, 4)",False,"{'stop_loss_pct': 0.07165582891480608, 'take_profit_pct': 0.10690740783882502, 'trailing_stop_pct': 0.029012640643715254}","(8, 13, 21, 34)",11.0,"(15, 15, 15, 20)",0.17164290216936554,0.09034286744877378,0.6181890568707215,1.057429812104803,1.143314662748462,1.1317335057716738,0.5058827616240966,2.157564293610627,-0.14117255369990123,252.0,0.16631023696810052,0.07690265473025175,0.8873382615851007,0.49130720836139563,0.24448111872795775,0.6428571428571429,-0.24448111872795775
2,"(4, 3, 2, 1)",False,"{'stop_loss_pct': 0.05705965107638018, 'take_profit_pct': 0.04810271279955765, 'trailing_stop_pct': 0.024408883618550835}","(8, 13, 21, 34)",11.0,"(5, 5, 5, 10)",0.40439835633876975,0.19939343061975784,1.3327612744902815,2.103984589426629,1.8202978849438025,1.285461972259684,0.5174710982850627,3.6900419108622096,-0.11048274489840353,211.4,0.12536291060790364,0.0482531493601693,1.2614645161080515,0.49208698640703397,0.7797184843620197,0.48174603174603176,-0.7797184843620197
3,"(1, 3, 5, 9)",False,"{'stop_loss_pct': 0.055547204799548444, 'take_profit_pct': 0.06334388286926687, 'trailing_stop_pct': 0.03211333010785938}","(5, 10, 15, 20)",6.0,"(8, 8, 8, 13)",0.24107893067170524,0.11678528579932737,0.7242766724605462,1.1314543265476638,0.8087354410290081,1.155482956589658,0.5119664497713036,1.6766299793637844,-0.14905672123018696,231.2,0.13913395202584927,0.0691833064883789,0.8675370770232379,0.48797269225040896,0.3072196167057776,0.5603174603174603,-0.3072196167057776
4,"(1, 1.5, 2, 2.5)",False,"{'stop_loss_pct': 0.03724137919119403, 'take_profit_pct': 0.05063091102447101, 'trailing_stop_pct': 0.03508711263984446}","(10, 15, 20, 30)",8.0,"(10, 10, 10, 15)",0.17760174695896663,0.09262531694172607,0.6570962848583933,1.0208289055546804,0.6731112154981498,1.132468768563403,0.5100792842409382,1.2881764578961805,-0.14596154820300827,275.0,0.13963934882541076,0.06852373785494784,0.7887597605687443,0.49084308034118723,0.054632776441760234,0.7341269841269841,-0.054632776441760234
5,"(1, 3, 5, 9)",False,"{'stop_loss_pct': 0.0465166039011472, 'take_profit_pct': 0.05771265194792326, 'trailing_stop_pct': 0.042641820807943674}","(5, 10, 15, 20)",14.0,"(5, 5, 5, 10)",0.2256522019932042,0.10900423130510975,0.632943652576773,1.0948315337316106,0.7787506209198375,1.138219721663544,0.5057823092316415,1.5959140323987193,-0.13569915364073454,302.4,0.14072385323736933,0.07300839713804945,0.8264792407177879,0.48814904860802794,-0.01637790213935486,0.8428571428571427,0.01637790213935486
6,"(4, 3, 2, 1)",False,"{'stop_loss_pct': 0.02490481651712935, 'take_profit_pct': 0.1496685930890116, 'trailing_stop_pct': 0.04097235784224525}","(12, 18, 24, 36)",10.0,"(8, 8, 8, 13)",0.15299387429374406,0.08132572011314428,0.6183899230573393,0.9750241669796071,0.6502487540893045,1.1226502516248318,0.5076173316568948,1.2214176217048915,-0.1464985813361063,290.6,0.13188100644869755,0.07383347679091416,0.7633539876271985,0.4894918431309274,-0.03267775840454756,0.7960317460317461,0.03267775840454756
7,"(1, 3, 5, 9)",False,"{'stop_loss_pct': 0.06488214637762404, 'take_profit_pct': 0.13130985956097285, 'trailing_stop_pct': 0.02192860589928648}","(10, 15, 20, 30)",6.0,"(10, 10, 10, 15)",0.26664493413173845,0.1333611717022351,0.8123290123456683,1.1470570865337837,1.3333457322415108,1.1752216580278827,0.5357060525021812,2.6441446196361236,-0.13312790546522923,229.2,0.1474590041657629,0.06327180856927296,1.0086389387266905,0.4887259980561801,0.4562579863457382,0.5523809523809523,-0.4562579863457382
8,"(1, 1.5, 2, 2.5)",False,"{'stop_loss_pct': 0.023244672466651038, 'take_profit_pct': 0.12485188993554208, 'trailing_stop_pct': 0.04169895211023082}","(5, 10, 15, 20)",15.0,"(8, 8, 8, 13)",0.1298181669449529,0.05898949290811537,0.28657851804688617,0.4987056136107443,0.4121590174795153,1.0730300009980926,0.49901903344102144,0.8994390824309745,-0.1636287145951243,393.6,0.14398765099816915,0.10001397088602906,0.5013134374476356,0.4866849644352008,-0.7034484673142694,1.204761904761905,0.7034484673142694
9,"(1, 3, 5, 9)",False,"{'stop_loss_pct': 0.046099877219048374, 'take_profit_pct': 0.09286128855823653, 'trailing_stop_pct': 0.029750971782064234}","(5, 10, 15, 20)",12.0,"(10, 10, 10, 15)",-0.01656666740980477,-0.011009093499135036,0.006678643205657498,0.029579294923079757,0.06664706347646579,1.0041016261212996,0.48739759908438807,0.14607280688859364,-0.18692048608487208,268.8,0.14331814746311416,0.09478701819975828,0.028785761265802835,0.4841282704838214,-0.6807380482580068,0.7095238095238096,0.6807380482580068
10,"(1, 3, 5, 9)",False,"{'stop_loss_pct': 0.036099485222632254, 'take_profit_pct': 0.0445386393108004, 'trailing_stop_pct': 0.021041103075704597}","(12, 18, 24, 36)",15.0,"(10, 10, 10, 15)",0.14844062040235934,0.07957210207952121,0.5283423051503104,0.8159059435727294,0.5358104387606215,1.1051874810644446,0.4979352991735692,1.0005127261261193,-0.15038915275494313,233.0,0.15738185188114545,0.06871885181078145,0.6743634057126142,0.492983031440144,0.10690308825229677,0.5674603174603174,-0.10690308825229677
11,"(4, 3, 2, 1)",True,"{'stop_loss_pct': 0.026289837022788115, 'take_profit_pct': 0.10689676234010653, 'trailing_stop_pct': 0.043432635009916745}","(10, 15, 20, 30)",8.0,"(15, 15, 15, 20)",0.6190326558656467,0.26268735053953646,0.9260892969199764,1.426035392440252,1.883328632454925,1.234118297093784,0.53811377214761,4.318473747055511,-0.31181440475858474,219.0,0.22306156416699338,0.1474566401090352,1.151138636242974,0.4842435101225594,0.6156050648210427,0.5355335714219314,-0.6156050648210427
12,"(1, 3, 5, 9)",False,"{'stop_loss_pct': 0.056546248945299166, 'take_profit_pct': 0.12030435603982592, 'trailing_stop_pct': 0.02849482814090315}","(8, 13, 21, 34)",13.0,"(10, 10, 10, 15)",0.18677803101536802,0.09986416287093518,0.6626742814340724,1.0510895744538107,0.8809015724289365,1.136785149213205,0.510748224529768,1.6514106562069208,-0.15049525292521326,224.0,0.1553030634769011,0.07250058761903204,0.852422900945543,0.49271866648460144,0.3206768691995112,0.5317460317460317,-0.3206768691995112
13,"(1, 2, 3, 4)",True,"{'stop_loss_pct': 0.025331110883950247, 'take_profit_pct': 0.09138634224189468, 'trailing_stop_pct': 0.022022687713823284}","(12, 18, 24, 36)",13.0,"(15, 15, 15, 20)",1.0128806072358567,0.45029729178949013,1.5077264270404238,2.15767457009877,2.1461201508200185,1.355200249976707,0.5118166760302157,4.896110835908319,-0.24240491297395525,123.0,0.24560915003584077,0.0908369310667119,1.336708968778092,0.48919228202160114,1.205756587825711,0.13095238095238096,-1.205756587825711
14,"(1, 2, 3, 4)",False,"{'stop_loss_pct': 0.02102580139686467, 'take_profit_pct': 0.13963047991976116, 'trailing_stop_pct': 0.02697381912408791}","(12, 18, 24, 36)",6.0,"(15, 15, 15, 20)",0.25681558913770747,0.1344940998352581,0.8352895456137681,1.20837643149693,1.0772740347777572,1.1836866973488853,0.5138182108466415,2.0519922713523853,-0.13908427720637323,160.0,0.15876690642168953,0.058047015176591464,0.9628688419812441,0.48969166874296455,0.6850910642034663,0.2777777777777778,-0.6850910642034663
15,"(1, 2, 3, 4)",False,"{'stop_loss_pct': 0.03225705512060973, 'take_profit_pct': 0.14865109331560386, 'trailing_stop_pct': 0.04625742827447443}","(10, 15, 20, 30)",14.0,"(8, 8, 8, 13)",0.1304259645064654,0.06847577347727507,0.5753093156624073,0.9019517454029227,0.6375193594062541,1.1104189633526826,0.5049855140263185,1.2071942783049725,-0.16976489326431818,252.6,0.14420436483649746,0.08216864366132356,0.738491999545637,0.4908265414151748,0.09325390430754188,0.6452380952380952,-0.09325390430754188
16,"(1, 1.5, 2, 2.5)",False,"{'stop_loss_pct': 0.0690196858528019, 'take_profit_pct': 0.1295491814192097, 'trailing_stop_pct': 0.04646802814923896}","(10, 15, 20, 30)",8.0,"(5, 5, 5, 10)",0.3990624230191474,0.19515320225149937,1.251834245709267,1.7994012129655004,1.6701815906653823,1.2804714114297844,0.5082032605445305,3.359671050292634,-0.10678113495663066,121.6,0.13265821668567102,0.03534189505567554,1.2000881575154685,0.4916342069735366,1.074691332118643,0.12539682539682537,-1.074691332118643
17,"(1, 2, 3, 4)",False,"{'stop_loss_pct': 0.041040997596399974, 'take_profit_pct': 0.05133902727502177, 'trailing_stop_pct': 0.029748470940893293}","(12, 18, 24, 36)",6.0,"(8, 8, 8, 13)",0.3389666781616008,0.17244825806016723,1.1498975720652571,1.8678252747857562,1.8745830269977788,1.2437647202534983,0.5181546605206073,3.6956885297003668,-0.10049367568346665,150.4,0.13568296561496376,0.04469787757086526,1.213838121357769,0.49187875487505883,0.9741555816752292,0.2396825396825397,-0.9741555816752292
18,"(1, 3, 5, 9)",True,"{'stop_loss_pct': 0.02768461375558231, 'take_profit_pct': 0.13348404190288568, 'trailing_stop_pct': 0.027356406466425984}","(10, 15, 20, 30)",8.0,"(15, 15, 15, 20)",0.6615814664179591,0.3237818487442907,1.2995102644129919,1.8074022050819203,1.2460718586330457,1.278354263878189,0.529359726672123,2.538786960735426,-0.26048046688246373,205.2,0.23694088915214984,0.11019327313550745,1.1559486192653128,0.4966330171719708,0.6988057621224557,0.4571428571428571,-0.6988057621224557
19,"(1, 3, 5, 9)",False,"{'stop_loss_pct': 0.07855999386433501, 'take_profit_pct': 0.11843489736658702, 'trailing_stop_pct': 0.03341970784960946}","(8, 13, 21, 34)",8.0,"(10, 10, 10, 15)",0.35816511240037047,0.1857824263852151,1.1978741163970235,1.9666883214836548,1.6093795743678143,1.2515698556983963,0.5191161786038176,3.1060596376079164,-0.12470735413823786,168.2,0.14982516972416307,0.057094508721730365,1.1971417935914999,0.4929896690574328,0.8868243332740395,0.31031746031746027,-0.8868243332740395
20,"(1, 1.5, 2, 2.5)",True,"{'stop_loss_pct': 0.06684124206469737, 'take_profit_pct': 0.08332660864829067, 'trailing_stop_pct': 0.03764685671580127}","(12, 18, 24, 36)",9.0,"(5, 5, 5, 10)",0.6744873375913094,0.29017509151603754,1.0375575123218281,1.3522008112768042,1.2845203231397746,1.2335988301420924,0.546512951481877,3.0256333180372863,-0.3003059259111181,183.2,0.23832145017110506,0.11901090016403693,1.1003589189755734,0.48936680040853203,0.7299057973120673,0.370453121663506,-0.7299057973120673
21,"(1, 1.5, 2, 2.5)",True,"{'stop_loss_pct': 0.061291925232607014, 'take_profit_pct': 0.07186943599436943, 'trailing_stop_pct': 0.04959340807333457}","(12, 18, 24, 36)",10.0,"(5, 5, 5, 10)",0.592981603833256,0.2262737827651442,1.059982758228006,1.485496694156766,1.3936062415461161,1.2314352719125974,0.538764617227817,3.3658597646350037,-0.36563031970752735,156.4,0.2977453657839131,0.1197664263590692,1.1322016209092287,0.4890131007167183,0.7374489180021104,0.3947527029071182,-0.7374489180021104
22,"(1, 1.5, 2, 2.5)",True,"{'stop_loss_pct': 0.07617827502605706, 'take_profit_pct': 0.08272582581395209, 'trailing_stop_pct': 0.04972451455350963}","(10, 15, 20, 30)",7.0,"(15, 15, 15, 20)",0.6695065427272575,0.321426700861396,1.2400336833483405,1.5367981912278659,1.1973119819145845,1.2690063754585803,0.5373976176234462,2.4761920334919227,-0.2839347953592074,147.8,0.2367235339469913,0.10278258200663767,1.122540022911692,0.4906429836122891,0.8931749435466125,0.2293650793650794,-0.8931749435466125
23,"(1, 2, 3, 4)",True,"{'stop_loss_pct': 0.05076021225875799, 'take_profit_pct': 0.09418313155449234, 'trailing_stop_pct': 0.03835106004659308}","(10, 15, 20, 30)",9.0,"(5, 5, 5, 10)",1.318500281499006,0.5374499202218356,1.766935131907609,2.273356499445188,2.6649390520950624,1.4269016450069822,0.5558956980200569,6.538997924539556,-0.2233958311936351,214.6,0.21633377892038325,0.08612625904551288,1.4874609102547727,0.4930347090918586,0.9930164658103282,0.4944444444444444,-0.9930164658103282
24,"(1, 1.5, 2, 2.5)",True,"{'stop_loss_pct': 0.07992287397830306, 'take_profit_pct': 0.08499691366085553, 'trailing_stop_pct': 0.047094687418357296}","(12, 18, 24, 36)",11.0,"(15, 15, 15, 20)",0.4850298098994963,0.24382025210166533,1.005563420529927,1.4446317383831722,0.9876714246660336,1.2183156772778536,0.5169553147460351,1.9612152280666741,-0.2962202457143873,216.4,0.24659090593049093,0.12861869245599405,1.005991651837335,0.4928461118369474,0.5044043502500335,0.5015873015873016,-0.5044043502500335
25,"(1, 1.5, 2, 2.5)",True,"{'stop_loss_pct': 0.06710238760279733, 'take_profit_pct': 0.0689545243594395, 'trailing_stop_pct': 0.02507833432385008}","(12, 18, 24, 36)",12.0,"(5, 5, 5, 10)",0.9704843036023398,0.33416329703105696,1.2508995160237082,1.9687716646417044,2.142235891455945,1.2884939914377544,0.5417266065066101,5.832379389529426,-0.35922980812861083,164.8,0.29685995093159595,0.11921104163007212,1.3135818251459381,0.48647768413956866,0.8982968120633196,0.41528501308261856,-0.8982968120633196
26,"(1, 2, 3, 4)",True,"{'stop_loss_pct': 0.05186256415271426, 'take_profit_pct': 0.10063112035343544, 'trailing_stop_pct': 0.03818182873170563}","(10, 15, 20, 30)",5.0,"(5, 5, 5, 10)",1.4507822248272797,0.577730027207024,1.9119286877265989,2.7726079310461387,3.222069085063237,1.4783895588801212,0.5695677543213448,8.116528332494653,-0.21286851991425837,145.4,0.2165024483585501,0.08729227185160873,1.600257168457358,0.4945581023690919,1.3804158986160882,0.21984126984126987,-1.3804158986160882
27,"(1, 2, 3, 4)",True,"{'stop_loss_pct': 0.05199607022466543, 'take_profit_pct': 0.1012351925054345, 'trailing_stop_pct': 0.03837855271207971}","(10, 15, 20, 30)",5.0,"(15, 15, 15, 20)",1.0513836314005007,0.4731639750209721,1.790626472159526,2.3722579407021036,2.3596070940391582,1.390651586010878,0.5507138426392151,5.146111541304767,-0.2074540472853741,129.8,0.21878840436511146,0.07535560942508271,1.4517172014320252,0.4920763762360182,1.2937806934955172,0.15793650793650799,-1.2937806934955172
28,"(1, 2, 3, 4)",True,"{'stop_loss_pct': 0.05065001156620395, 'take_profit_pct': 0.10165342276906594, 'trailing_stop_pct': 0.03885614774398281}","(10, 15, 20, 30)",5.0,"(15, 15, 15, 20)",1.0513836314005007,0.4731639750209721,1.790626472159526,2.3722579407021036,2.3596070940391582,1.390651586010878,0.5507138426392151,5.146111541304767,-0.2074540472853741,129.8,0.21878840436511146,0.07535560942508271,1.4517172014320252,0.4920763762360182,1.2937806934955172,0.15793650793650799,-1.2937806934955172
29,"(1, 2, 3, 4)",True,"{'stop_loss_pct': 0.04518180493135735, 'take_profit_pct': 0.11398908094805113, 'trailing_stop_pct': 0.0363428756704103}","(10, 15, 20, 30)",5.0,"(5, 5, 5, 10)",1.4507822248272797,0.577730027207024,1.9119286877265989,2.7726079310461387,3.222069085063237,1.4783895588801212,0.5695677543213448,8.116528332494653,-0.21286851991425837,145.4,0.2165024483585501,0.08729227185160873,1.600257168457358,0.4945581023690919,1.3804158986160882,0.21984126984126987,-1.3804158986160882
30,"(1, 2, 3, 4)",True,"{'stop_loss_pct': 0.043650267103981275, 'take_profit_pct': 0.11431064568181049, 'trailing_stop_pct': 0.03569792047761634}","(10, 15, 20, 30)",5.0,"(5, 5, 5, 10)",1.4507822248272797,0.577730027207024,1.9119286877265989,2.7726079310461387,3.222069085063237,1.4783895588801212,0.5695677543213448,8.116528332494653,-0.21286851991425837,145.4,0.2165024483585501,0.08729227185160873,1.600257168457358,0.4945581023690919,1.3804158986160882,0.21984126984126987,-1.3804158986160882
31,"(1, 2, 3, 4)",True,"{'stop_loss_pct': 0.06094312836872028, 'take_profit_pct': 0.11098674421626749, 'trailing_stop_pct': 0.03243711171987152}","(10, 15, 20, 30)",7.0,"(5, 5, 5, 10)",1.3326364980826746,0.546495681614892,1.872331835509985,2.451366957861292,3.2192562851806144,1.4356149239676428,0.572099522681551,7.932657997775989,-0.20916516422064121,166.0,0.21140534107577674,0.08290852664945356,1.5693519519440795,0.49189933258437896,1.2677646503567779,0.30158730158730157,-1.2677646503567779
32,"(1, 2, 3, 4)",True,"{'stop_loss_pct': 0.04160917834270539, 'take_profit_pct': 0.14246668988440508, 'trailing_stop_pct': 0.040049371263734465}","(8, 13, 21, 34)",7.0,"(5, 5, 5, 10)",1.1185432629304422,0.47180077384672325,1.5328731619940872,2.2266146843304213,2.1729548662658322,1.3782799054228405,0.5611964911954616,5.192466198381297,-0.2428979803138734,205.2,0.22939079976432558,0.09820230715739804,1.4078820523653908,0.4950728825184501,0.9507391952225337,0.4571428571428571,-0.9507391952225337
33,"(4, 3, 2, 1)",True,"{'stop_loss_pct': 0.031787436907420794, 'take_profit_pct': 0.07529553573492544, 'trailing_stop_pct': 0.034757591971143136}","(10, 15, 20, 30)",5.0,"(5, 5, 5, 10)",1.2578282011773532,0.5410271683741876,2.0993297295955546,2.6092971062518555,2.6243186341415092,1.4646500690272648,0.5957742668836468,5.950338922059388,-0.2072630541457235,124.0,0.20212918987119285,0.06682697317369544,1.5915366570577967,0.5001675977636586,1.4566160221371618,0.1349206349206349,-1.4566160221371618
34,"(4, 3, 2, 1)",True,"{'stop_loss_pct': 0.03157069095118916, 'take_profit_pct': 0.07639776336893044, 'trailing_stop_pct': 0.03450546573229313}","(5, 10, 15, 20)",7.0,"(5, 5, 5, 10)",1.3444296138606746,0.5221061961924196,1.7148653459718435,1.912709840054567,2.1893346723123868,1.4263879131153685,0.5944923336597938,5.488636745715719,-0.23843543404349368,137.6,0.21525775833354216,0.08272500858977642,1.4534573771886048,0.4944844140541729,1.264568488299716,0.18888888888888886,-1.264568488299716
35,"(4, 3, 2, 1)",True,"{'stop_loss_pct': 0.03082252687589277, 'take_profit_pct': 0.06424013060433197, 'trailing_stop_pct': 0.03106203542672001}","(8, 13, 21, 34)",9.0,"(5, 5, 5, 10)",0.870318729806127,0.4002370911301936,1.6760010548981483,2.1446719393634748,2.0704052807420625,1.3542235803658136,0.5696982562380465,4.41860400171859,-0.20990708852272683,136.2,0.1966771847768218,0.07312055299849549,1.4064734376979537,0.4955491837428735,1.2231401043646204,0.1833333333333333,-1.2231401043646204
36,"(4, 3, 2, 1)",True,"{'stop_loss_pct': 0.03677513570026983, 'take_profit_pct': 0.05496157333101983, 'trailing_stop_pct': 0.035896717297823906}","(10, 15, 20, 30)",6.0,"(5, 5, 5, 10)",1.4296217001355107,0.5860074768266904,2.0335703781688363,2.733523404788787,2.4214983979272406,1.4704227166148418,0.5747695539535084,5.832537984803667,-0.23034911388580728,164.4,0.20914538107244196,0.07817574241880657,1.5536402768673923,0.4973340023119876,1.258402181629297,0.29523809523809524,-1.258402181629297
37,"(4, 3, 2, 1)",True,"{'stop_loss_pct': 0.020165410180561956, 'take_profit_pct': 0.07914807827590548, 'trailing_stop_pct': 0.03373597182514778}","(10, 15, 20, 30)",5.0,"(5, 5, 5, 10)",1.2578282011773532,0.5410271683741876,2.0993297295955546,2.6092971062518555,2.6243186341415092,1.4646500690272648,0.5957742668836468,5.950338922059388,-0.2072630541457235,124.0,0.20212918987119285,0.06682697317369544,1.5915366570577967,0.5001675977636586,1.4566160221371618,0.1349206349206349,-1.4566160221371618
38,"(4, 3, 2, 1)",True,"{'stop_loss_pct': 0.020567828752681292, 'take_profit_pct': 0.06166154093299273, 'trailing_stop_pct': 0.0248217800057498}","(5, 10, 15, 20)",6.0,"(8, 8, 8, 13)",0.8156105622197074,0.3618646395301484,1.530297666392801,2.034479486300197,1.995252801892707,1.321560674488883,0.5611326234165562,4.463618843482466,-0.19549180803452754,158.4,0.19788007293984675,0.07290525385167232,1.3608503485858832,0.48716134611804723,1.0894217771573116,0.27142857142857146,-1.0894217771573116
39,"(4, 3, 2, 1)",True,"{'stop_loss_pct': 0.034620706259937156, 'take_profit_pct': 0.07609393034138243, 'trailing_stop_pct': 0.03383050399889709}","(10, 15, 20, 30)",10.0,"(5, 5, 5, 10)",0.9874397324983863,0.43251325877551317,1.4691877089714056,1.7407295001168142,1.7657873917422218,1.3567950039980137,0.5596322176250537,3.944099259011355,-0.236128026659623,125.2,0.2326988498805525,0.08156880482298676,1.304659307104956,0.4925865300388616,1.1649767674224163,0.13968253968253969,-1.1649767674224163
40,"(4, 3, 2, 1)",True,"{'stop_loss_pct': 0.028483195572581367, 'take_profit_pct': 0.04244551451219108, 'trailing_stop_pct': 0.031513912140988976}","(5, 10, 15, 20)",7.0,"(5, 5, 5, 10)",1.3444296138606746,0.5221061961924196,1.7148653459718435,1.912709840054567,2.1893346723123868,1.4263879131153685,0.5944923336597938,5.488636745715719,-0.23843543404349368,137.6,0.21525775833354216,0.08272500858977642,1.4534573771886048,0.4944844140541729,1.264568488299716,0.18888888888888886,-1.264568488299716
41,"(4, 3, 2, 1)",True,"{'stop_loss_pct': 0.02252065065509241, 'take_profit_pct': 0.0890828573470114, 'trailing_stop_pct': 0.04420237088161099}","(8, 13, 21, 34)",5.0,"(10, 10, 10, 15)",0.8545080144679472,0.39424713922548615,1.5834776869288283,1.97922506664523,1.6460339668110024,1.344694345823719,0.5532090831358332,3.4924709769345528,-0.22706471854244242,146.6,0.21051135661264517,0.072602771280246,1.30949500595003,0.48832401146249094,1.0848918313468556,0.22460317460317458,-1.0848918313468556
42,"(4, 3, 2, 1)",True,"{'stop_loss_pct': 0.040432831364015334, 'take_profit_pct': 0.07715262036893283, 'trailing_stop_pct': 0.04053534854815787}","(10, 15, 20, 30)",6.0,"(8, 8, 8, 13)",0.6230050128920317,0.29003640093352484,1.1914014308464727,1.3833852454007267,1.0639248973026476,1.2578034028564697,0.553664300758799,2.241136937345866,-0.2570430453082724,177.8,0.21322277608170648,0.09583467432500252,1.0811754521901709,0.4866185959460735,0.7327627537774724,0.34841269841269845,-0.7327627537774724
43,"(4, 3, 2, 1)",True,"{'stop_loss_pct': 0.02034155165403131, 'take_profit_pct': 0.06854897450275986, 'trailing_stop_pct': 0.02000822499881341}","(10, 15, 20, 30)",12.0,"(5, 5, 5, 10)",0.8824450524033871,0.4030119947434079,1.5536938814249557,1.8502907925363796,2.002473067960039,1.3384008767654716,0.5724268640950204,4.3294385378153075,-0.19756653107990965,110.6,0.21919231313082865,0.07289945931530505,1.3609914906844285,0.4947897604621919,1.2792454589383968,0.08174603174603172,-1.2792454589383968
44,"(4, 3, 2, 1)",True,"{'stop_loss_pct': 0.03904581593737315, 'take_profit_pct': 0.06271178438338391, 'trailing_stop_pct': 0.042689842544112705}","(5, 10, 15, 20)",9.0,"(10, 10, 10, 15)",0.7110820125900325,0.31285632464420166,1.1474840697150868,1.3996985992699527,1.065754001216832,1.260205568969758,0.5514516176655408,2.3673026498232357,-0.272014063166394,158.8,0.2256600068899793,0.09739657838534418,1.0803894582864546,0.4893713205379561,0.8073735852705816,0.27301587301587305,-0.8073735852705816
45,"(4, 3, 2, 1)",True,"{'stop_loss_pct': 0.03444306281106652, 'take_profit_pct': 0.05285725073844755, 'trailing_stop_pct': 0.02296771978282873}","(10, 15, 20, 30)",11.0,"(5, 5, 5, 10)",1.1088889886035513,0.474017434999741,1.623024017394492,1.9867555925975064,1.9241309399254907,1.3824967515364253,0.5653600584126458,4.391097551564614,-0.2293371945251696,143.4,0.2286581266487458,0.07725508201072662,1.3764533457287957,0.4932433324253231,1.164548583824034,0.21190476190476193,-1.164548583824034
46,"(4, 3, 2, 1)",True,"{'stop_loss_pct': 0.04768646348991064, 'take_profit_pct': 0.047358697362133315, 'trailing_stop_pct': 0.026302576022839107}","(8, 13, 21, 34)",14.0,"(8, 8, 8, 13)",0.8356563100740125,0.3800173406186945,1.3915229733588828,1.8509466148321443,2.1504735306620555,1.2993156061811033,0.5496186634399314,4.715731357583671,-0.1861762895944518,136.2,0.21864539994664609,0.07068912517081993,1.3259520597938819,0.48704003336479545,1.1426187264605485,0.1833333333333333,-1.1426187264605485
47,"(4, 3, 2, 1)",False,"{'stop_loss_pct': 0.02403668453627357, 'take_profit_pct': 0.05735096707949294, 'trailing_stop_pct': 0.028731943701941168}","(10, 15, 20, 30)",6.0,"(5, 5, 5, 10)",0.4342599473861073,0.21579214496083318,1.5804676063550835,2.309195974646815,2.5981872575550544,1.3355440788097697,0.5457280382944794,5.234811157966225,-0.0856783251072916,131.0,0.12050644413356615,0.03335193461576273,1.420837689540926,0.49576901871332807,1.2581392768425133,0.1626984126984127,-1.2581392768425133
48,"(4, 3, 2, 1)",True,"{'stop_loss_pct': 0.02834054585104977, 'take_profit_pct': 0.08848891412102186, 'trailing_stop_pct': 0.02996965839138878}","(10, 15, 20, 30)",7.0,"(10, 10, 10, 15)",0.8899836489581491,0.40183794760531555,1.5104417505811791,1.9722443897715753,1.7168842766447798,1.3409056978211666,0.5491411433150652,3.7795052156945537,-0.2336088414736756,172.6,0.21726965938338597,0.08508082930340337,1.3092090003802188,0.4896324243623438,0.9814312226024411,0.3277777777777778,-0.9814312226024411
49,"(1, 3, 5, 9)",False,"{'stop_loss_pct': 0.02964060946963198, 'take_profit_pct': 0.04040404407483429, 'trailing_stop_pct': 0.0370173567843749}","(5, 10, 15, 20)",8.0,"(5, 5, 5, 10)",0.26204564418765935,0.130404078397874,0.9533933016994757,1.4104741988617646,1.362035107344842,1.1928116442581118,0.5184047981959924,2.7408118509354953,-0.108540439906986,181.8,0.12718352022855162,0.048975767041247606,1.0668056499969663,0.4900930785616011,0.7025199357112519,0.3642857142857143,-0.7025199357112519
